Sus_Ochiai:
(90, 0.31622776601683794)
(72, 0.11396057645963795)
(171, 0.11396057645963795)
(79, 0.10314212462587934)
(99, 0.09090909090909091)
(97, 0.09016696346674323)
(118, 0.09016696346674323)
(119, 0.08944271909999159)
(104, 0.0890870806374748)
(109, 0.0890870806374748)
(127, 0.0890870806374748)
(128, 0.0890870806374748)
(135, 0.0890870806374748)
(136, 0.0890870806374748)
(141, 0.0890870806374748)
(148, 0.0890870806374748)
(162, 0.08111071056538127)
(120, 0.08006407690254357)
(169, 0.08006407690254357)
(160, 0.07392212709545729)
(161, 0.07198157507486945)
(163, 0.07142857142857142)
(166, 0.06468462273531508)
(165, 0.06375767130633382)
(124, 0.061898446059017294)
(126, 0.061898446059017294)
(58, 0.06085806194501846)
(133, 0.06085806194501846)
(158, 0.06085806194501846)
(159, 0.06085806194501846)
(63, 0.05976143046671968)
(167, 0.0472455591261534)
(172, 0.025173668017796205)
(164, 0.024937733402690822)
(168, 0.024937733402690822)
(50, 0.0)
(51, 0.0)
(52, 0.0)
(53, 0.0)
(56, 0)
(61, 0)
(73, 0.0)
(81, 0)
(91, 0)
(112, 0.0)
(122, 0.0)

Sus_Op2:
(90, 0.9944029850746269)
(72, 0.9527363184079602)
(171, 0.9527363184079602)
(79, 0.9421641791044776)
(99, 0.9253731343283582)
(97, 0.9241293532338308)
(118, 0.9241293532338308)
(119, 0.9228855721393034)
(104, 0.9222636815920398)
(109, 0.9222636815920398)
(127, 0.9222636815920398)
(128, 0.9222636815920398)
(135, 0.9222636815920398)
(136, 0.9222636815920398)
(141, 0.9222636815920398)
(148, 0.9222636815920398)
(162, 0.9060945273631841)
(120, 0.9036069651741293)
(169, 0.9036069651741293)
(160, 0.8868159203980099)
(161, 0.8805970149253731)
(163, 0.878731343283582)
(166, 0.8519900497512438)
(165, 0.847636815920398)
(124, 0.8383084577114428)
(126, 0.8383084577114428)
(58, 0.8327114427860697)
(133, 0.8327114427860697)
(158, 0.8327114427860697)
(159, 0.8327114427860697)
(63, 0.8264925373134329)
(167, 0.7220149253731343)
(172, 0.01927860696517414)
(164, 0.0006218905472636926)
(168, 0.0006218905472636926)
(50, 0.0)
(53, 0.0)
(56, 0.0)
(61, 0.0)
(81, 0.0)
(91, 0.0)
(112, 0.0)
(122, 0.0)
(51, -0.02736318407960199)
(52, -0.046019900497512436)
(73, -0.08955223880597014)

Sus_Tarantula:
(90, 0.994430693069307)
(72, 0.9548425430778371)
(171, 0.9548425430778371)
(79, 0.9452941176470588)
(99, 0.9305153445280835)
(97, 0.929438982070561)
(118, 0.929438982070561)
(119, 0.9283651068746389)
(104, 0.9278290993071594)
(109, 0.9278290993071594)
(127, 0.9278290993071594)
(128, 0.9278290993071594)
(135, 0.9278290993071594)
(136, 0.9278290993071594)
(141, 0.9278290993071594)
(148, 0.9278290993071594)
(162, 0.9141069397042094)
(120, 0.9120317820658342)
(169, 0.9120317820658342)
(160, 0.8982671883733929)
(161, 0.8932740411339632)
(163, 0.8917869034406215)
(166, 0.8710027100271003)
(165, 0.8677105831533477)
(124, 0.8607391537225496)
(126, 0.8607391537225496)
(58, 0.8566098081023453)
(133, 0.8566098081023453)
(158, 0.8566098081023453)
(159, 0.8566098081023453)
(63, 0.852067868504772)
(167, 0.7823758519961052)
(172, 0.5047110552763818)
(164, 0.5)
(168, 0.5)
(50, 0.0)
(51, 0.0)
(52, 0.0)
(53, 0.0)
(56, 0)
(61, 0)
(73, 0.0)
(81, 0)
(91, 0)
(112, 0.0)
(122, 0.0)

Sus_Dstar3:
(90, 0.1111111111111111)
(72, 0.013157894736842105)
(171, 0.013157894736842105)
(79, 0.010752688172043012)
(99, 0.008333333333333333)
(97, 0.00819672131147541)
(118, 0.00819672131147541)
(119, 0.008064516129032258)
(104, 0.008)
(109, 0.008)
(127, 0.008)
(128, 0.008)
(135, 0.008)
(136, 0.008)
(141, 0.008)
(148, 0.008)
(162, 0.006622516556291391)
(120, 0.0064516129032258064)
(169, 0.0064516129032258064)
(160, 0.005494505494505495)
(161, 0.005208333333333333)
(163, 0.005128205128205128)
(166, 0.004201680672268907)
(165, 0.004081632653061225)
(124, 0.0038461538461538464)
(126, 0.0038461538461538464)
(58, 0.0037174721189591076)
(133, 0.0037174721189591076)
(158, 0.0037174721189591076)
(159, 0.0037174721189591076)
(63, 0.0035842293906810036)
(167, 0.0022371364653243847)
(172, 0.0006341154090044388)
(164, 0.0006222775357809583)
(168, 0.0006222775357809583)
(50, 0.0)
(51, 0.0)
(52, 0.0)
(53, 0.0)
(56, 0.0)
(61, 0.0)
(73, 0.0)
(81, 0.0)
(91, 0.0)
(112, 0.0)
(122, 0.0)

Sus_GP13:
(90, 1.05)
(72, 1.0064935064935066)
(171, 1.0064935064935066)
(79, 1.0053191489361701)
(99, 1.0041322314049588)
(97, 1.0040650406504066)
(118, 1.0040650406504066)
(119, 1.004)
(104, 1.003968253968254)
(109, 1.003968253968254)
(127, 1.003968253968254)
(128, 1.003968253968254)
(135, 1.003968253968254)
(136, 1.003968253968254)
(141, 1.003968253968254)
(148, 1.003968253968254)
(162, 1.0032894736842106)
(120, 1.0032051282051282)
(169, 1.0032051282051282)
(160, 1.0027322404371584)
(161, 1.0025906735751295)
(163, 1.0025510204081634)
(166, 1.002092050209205)
(165, 1.0020325203252032)
(124, 1.0019157088122606)
(126, 1.0019157088122606)
(58, 1.0018518518518518)
(133, 1.0018518518518518)
(158, 1.0018518518518518)
(159, 1.0018518518518518)
(63, 1.0017857142857143)
(167, 1.0011160714285714)
