Sus_Jaccard:
(79, 0.008737864077669903)
(97, 0.008737864077669903)
(107, 0.00823045267489712)
(109, 0.00823045267489712)
(135, 0.007741935483870968)
(61, 0.007323026851098454)
(63, 0.007323026851098454)
(66, 0.007323026851098454)
(72, 0.007323026851098454)
(73, 0.007323026851098454)
(81, 0.007323026851098454)
(84, 0.007323026851098454)
(90, 0.007323026851098454)
(91, 0.007323026851098454)
(99, 0.007323026851098454)
(126, 0.007323026851098454)
(127, 0.007323026851098454)
(128, 0.007323026851098454)
(133, 0.007323026851098454)
(48, 0.005714285714285714)
(50, 0.005714285714285714)
(51, 0.005714285714285714)
(52, 0.005714285714285714)
(53, 0.005714285714285714)
(54, 0.005714285714285714)
(112, 0.005714285714285714)
(118, 0.005714285714285714)
(119, 0.005714285714285714)
(120, 0.005714285714285714)
(122, 0.005714285714285714)
(124, 0.005714285714285714)
(141, 0.005714285714285714)
(157, 0.005714285714285714)
(158, 0.005714285714285714)
(159, 0.005714285714285714)
(160, 0.005714285714285714)
(161, 0.005714285714285714)
(162, 0.005714285714285714)
(163, 0.005714285714285714)
(164, 0.005714285714285714)
(165, 0.005714285714285714)
(166, 0.005714285714285714)
(167, 0.005714285714285714)
(168, 0.005714285714285714)
(169, 0.005714285714285714)
(171, 0.005714285714285714)
(172, 0.005714285714285714)
(144, 0.005660377358490566)
(148, 0.005660377358490566)
(138, 0.005)
(136, 0.004081632653061225)
(56, 0.003319108582266477)
(58, 0.003319108582266477)
(102, 0.003312825366777094)
(104, 0.003312825366777094)

Sus_Ochiai:
(79, 0.19205531989934396)
(97, 0.19205531989934396)
(107, 0.17107978455366032)
(109, 0.17107978455366032)
(135, 0.15461042160902194)
(136, 0.14360673947588817)
(61, 0.14253430144367396)
(63, 0.14253430144367396)
(66, 0.14253430144367396)
(72, 0.14253430144367396)
(73, 0.14253430144367396)
(81, 0.14253430144367396)
(84, 0.14253430144367396)
(90, 0.14253430144367396)
(91, 0.14253430144367396)
(99, 0.14253430144367396)
(126, 0.14253430144367396)
(127, 0.14253430144367396)
(128, 0.14253430144367396)
(133, 0.14253430144367396)
(48, 0.10680282817633566)
(50, 0.10680282817633566)
(51, 0.10680282817633566)
(52, 0.10680282817633566)
(53, 0.10680282817633566)
(54, 0.10680282817633566)
(112, 0.10680282817633566)
(118, 0.10680282817633566)
(119, 0.10680282817633566)
(120, 0.10680282817633566)
(122, 0.10680282817633566)
(124, 0.10680282817633566)
(141, 0.10680282817633566)
(157, 0.10680282817633566)
(158, 0.10680282817633566)
(159, 0.10680282817633566)
(160, 0.10680282817633566)
(161, 0.10680282817633566)
(162, 0.10680282817633566)
(163, 0.10680282817633566)
(164, 0.10680282817633566)
(165, 0.10680282817633566)
(166, 0.10680282817633566)
(167, 0.10680282817633566)
(168, 0.10680282817633566)
(169, 0.10680282817633566)
(171, 0.10680282817633566)
(172, 0.10680282817633566)
(144, 0.10580184237878974)
(148, 0.10580184237878974)
(138, 0.10404246487051372)
(56, 0.07193974853079087)
(58, 0.07193974853079087)
(102, 0.07166776363062764)
(104, 0.07166776363062764)

Sus_Op2:
(79, 17.704588309239472)
(97, 17.704588309239472)
(107, 17.624764299182903)
(109, 17.624764299182903)
(135, 17.538026398491514)
(61, 17.454431175361407)
(63, 17.454431175361407)
(66, 17.454431175361407)
(72, 17.454431175361407)
(73, 17.454431175361407)
(81, 17.454431175361407)
(84, 17.454431175361407)
(90, 17.454431175361407)
(91, 17.454431175361407)
(99, 17.454431175361407)
(126, 17.454431175361407)
(127, 17.454431175361407)
(128, 17.454431175361407)
(133, 17.454431175361407)
(48, 17.01948460087995)
(50, 17.01948460087995)
(51, 17.01948460087995)
(52, 17.01948460087995)
(53, 17.01948460087995)
(54, 17.01948460087995)
(112, 17.01948460087995)
(118, 17.01948460087995)
(119, 17.01948460087995)
(120, 17.01948460087995)
(122, 17.01948460087995)
(124, 17.01948460087995)
(141, 17.01948460087995)
(157, 17.01948460087995)
(158, 17.01948460087995)
(159, 17.01948460087995)
(160, 17.01948460087995)
(161, 17.01948460087995)
(162, 17.01948460087995)
(163, 17.01948460087995)
(164, 17.01948460087995)
(165, 17.01948460087995)
(166, 17.01948460087995)
(167, 17.01948460087995)
(168, 17.01948460087995)
(169, 17.01948460087995)
(171, 17.01948460087995)
(172, 17.01948460087995)
(144, 17.000628535512256)
(148, 17.000628535512256)
(138, 10.61659333752357)
(136, 6.921433060967945)
(56, 6.6737900691389065)
(58, 6.6737900691389065)
(102, 6.671275927089881)
(104, 6.671275927089881)

Sus_Tarantula:
(136, 0.8318385650224216)
(79, 0.7718446601941747)
(97, 0.7718446601941747)
(107, 0.7270233196159122)
(109, 0.7270233196159122)
(135, 0.6838709677419355)
(61, 0.6468673718470301)
(63, 0.6468673718470301)
(66, 0.6468673718470301)
(72, 0.6468673718470301)
(73, 0.6468673718470301)
(81, 0.6468673718470301)
(84, 0.6468673718470301)
(90, 0.6468673718470301)
(91, 0.6468673718470301)
(99, 0.6468673718470301)
(126, 0.6468673718470301)
(127, 0.6468673718470301)
(128, 0.6468673718470301)
(133, 0.6468673718470301)
(138, 0.6143308746048473)
(56, 0.5436694021101993)
(58, 0.5436694021101993)
(102, 0.5417640186915889)
(104, 0.5417640186915889)
(48, 0.5047619047619047)
(50, 0.5047619047619047)
(51, 0.5047619047619047)
(52, 0.5047619047619047)
(53, 0.5047619047619047)
(54, 0.5047619047619047)
(112, 0.5047619047619047)
(118, 0.5047619047619047)
(119, 0.5047619047619047)
(120, 0.5047619047619047)
